"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Carlos Perez","Expos","12","13","0","33","32","206.2","4.79","2.09","0.91",".274","65.2 %","","","3.88","4.12","","2.7","1010179"
"Jason Schmidt","Pirates","10","9","0","32","32","187.2","6.52","3.64","0.77",".301","67.3 %","","","4.60","4.13","","2.5","1131"
"Jose Rosado","Royals","9","12","0","33","33","203.1","5.71","3.23","1.15",".280","67.6 %","","","4.69","4.64","","2.5","1011192"
"Scott Karl","Brewers","10","13","0","32","32","193.1","5.54","3.12","1.07",".302","71.8 %","","","4.47","4.53","","2.4","1006703"
"Dave Mlicki","Mets","8","12","0","32","32","193.2","7.30","3.53","0.98",".299","75.7 %","","","4.00","4.15","","2.4","569"
"Scott Kamieniecki","Orioles","10","6","0","30","30","179.1","5.47","3.36","1.00",".282","75.2 %","","","4.01","4.53","","2.2","1006681"
"Mark Clark","- - -","14","8","0","32","31","205.0","5.40","2.59","1.05",".288","74.3 %","","","3.82","4.35","","2.2","1002296"
"Chan Ho Park","Dodgers","14","8","0","32","29","192.0","7.78","3.28","1.12",".239","76.0 %","","","3.37","4.22","","2.1","1267"
"Brian Moehler","Tigers","11","12","0","31","31","175.1","4.98","3.13","1.13",".301","71.6 %","","","4.67","4.76","","2.1","480"
"Chris Holt","Astros","8","12","0","33","32","209.2","4.08","2.62","0.73",".276","71.0 %","","","3.52","4.24","","1.9","1005983"
"Frank Castillo","- - -","12","12","0","34","33","184.1","6.15","3.37","1.22",".324","67.2 %","","","5.42","4.76","","1.9","180"
"Omar Olivares","- - -","6","10","0","32","31","177.1","5.23","4.11","0.91",".299","67.7 %","","","4.97","4.86","","1.9","1009771"
"Ken Hill","- - -","9","12","0","31","31","190.0","5.02","4.50","0.90",".287","71.2 %","","","4.55","4.84","","1.9","1005827"
"Tim Belcher","Royals","13","12","0","32","32","213.1","4.77","2.95","1.31",".298","69.1 %","","","5.02","4.99","","1.9","1000789"
"Mark Leiter","Phillies","10","17","0","31","31","182.2","7.29","3.15","1.23",".326","61.8 %","","","5.67","4.47","","1.8","1007501"
"Tim Wakefield","Red Sox","12","15","0","35","29","201.1","6.75","3.89","1.07",".287","71.3 %","","","4.25","4.69","","1.8","219"
"Bobby Jones","Mets","15","9","0","30","30","193.1","5.82","2.93","1.12",".258","73.9 %","","","3.63","4.44","","1.8","1039"
"Steve Trachsel","Cubs","8","12","0","34","34","201.1","7.15","3.08","1.43",".315","74.4 %","","","4.51","4.69","","1.7","898"
"Jason Dickson","Angels","13","9","0","33","32","203.2","5.08","2.47","1.41",".301","74.0 %","","","4.29","4.95","","1.7","1003278"
"Steve Cooke","Pirates","9","15","0","32","32","167.1","5.86","4.14","0.81",".310","70.3 %","","","4.30","4.51","","1.6","1002570"
"Bobby Witt","Rangers","12","12","0","34","32","209.0","5.21","3.19","1.42",".308","73.9 %","","","4.82","5.09","","1.5","1014170"
"Glendon Rusch","Royals","6","9","0","30","27","170.1","6.13","2.75","1.48",".321","68.2 %","","","5.50","4.92","","1.5","707"
"Orel Hershiser","Indians","14","6","0","32","32","195.1","4.93","3.18","1.20",".282","71.7 %","","","4.47","4.97","","1.4","1005741"
"Joey Hamilton","Padres","12","7","0","31","29","192.2","5.79","3.22","1.03",".293","72.2 %","","","4.25","4.57","","1.4","328"
"Mark Gardner","Giants","12","9","0","30","30","180.1","6.79","2.84","1.40",".295","74.5 %","","","4.29","4.58","","1.4","1004529"
"Woody Williams","Blue Jays","9","14","0","31","31","194.2","5.73","3.05","1.43",".280","76.1 %","","","4.35","5.00","","1.4","1190"
"Terry Mulholland","- - -","6","13","0","40","27","186.2","4.77","2.46","1.16",".273","69.6 %","","","4.24","4.72","","1.3","665"
"Roger Bailey","Rockies","9","10","0","29","29","191.0","3.96","3.30","1.27",".285","74.5 %","","","4.29","5.37","","1.2","1000429"
"Jeff Juden","- - -","11","6","0","30","27","161.1","7.59","4.02","1.28",".288","74.5 %","","","4.46","4.80","","1.1","1006643"
"Allen Watson","Angels","12","12","0","35","34","199.0","6.38","3.30","1.67",".295","72.2 %","","","4.93","5.33","","1.1","1013675"
"Darren Oliver","Rangers","13","12","0","32","32","201.1","4.65","3.67","1.30",".278","73.5 %","","","4.20","5.33","","1.0","206"
"Cal Eldred","Brewers","13","15","0","34","34","202.0","5.44","3.97","1.38",".278","71.5 %","","","4.99","5.35","","0.8","1653"
"Aaron Sele","Red Sox","13","12","0","33","33","177.1","6.19","4.06","1.27",".301","68.8 %","","","5.38","5.17","","0.8","34"
"Dennis Springer","Angels","9","9","0","32","28","194.2","3.47","3.37","1.48",".255","69.1 %","","","5.18","5.75","","0.1","672"
"Doug Drabek","White Sox","12","11","0","31","31","169.1","4.52","3.67","1.59",".258","66.7 %","","","5.74","5.70","","-0.1","1003473"
