"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Roger Clemens","Blue Jays","21","7","0","34","34","264.0","9.95","2.32","0.31",".294","80.7 %","","","2.05","2.25","","10.7","815"
"Pedro Martinez","Expos","17","8","0","31","31","241.1","11.37","2.50","0.60",".258","79.9 %","","","1.90","2.39","","8.5","200"
"Curt Schilling","Phillies","17","11","0","35","35","254.1","11.29","2.05","0.88",".304","74.2 %","","","2.97","2.62","","8.2","73"
"Greg Maddux","Braves","19","4","0","33","33","232.2","6.85","0.77","0.35",".280","78.7 %","","","2.20","2.43","","8.0","104"
"Andy Pettitte","Yankees","18","7","0","35","35","240.1","6.22","2.43","0.26",".303","73.8 %","","","2.88","2.96","","7.2","840"
"Randy Johnson","Mariners","20","4","0","30","29","213.0","12.30","3.25","0.85",".281","84.5 %","","","2.28","2.82","","7.0","60"
"John Smoltz","Braves","15","12","0","35","35","256.0","8.47","2.21","0.74",".297","74.8 %","","","3.02","3.04","","6.7","115"
"Kevin Brown","Marlins","16","8","0","33","33","237.1","7.77","2.50","0.38",".300","77.5 %","","","2.69","2.94","","6.5","642"
"Mike Mussina","Orioles","15","8","0","33","33","224.2","8.73","2.16","1.08",".282","77.2 %","","","3.20","3.49","","5.4","837"
"Denny Neagle","Braves","20","5","0","34","34","233.1","6.63","1.89","0.69",".265","73.6 %","","","2.97","3.34","","5.2","441"
"Kevin Appier","Royals","9","13","0","34","34","235.2","7.49","2.83","0.92",".283","75.9 %","","","3.40","3.76","","5.2","3"
"Andy Benes","Cardinals","10","7","0","26","26","177.0","8.90","3.10","0.46",".294","74.6 %","","","3.10","2.91","","5.1","1144"
"Jeff Fassero","Mariners","16","9","0","35","35","234.1","7.26","3.23","0.81",".288","72.3 %","","","3.61","3.77","","5.0","279"
"David Cone","Yankees","12","6","0","29","29","195.0","10.25","3.97","0.78",".290","80.5 %","","","2.82","3.35","","4.9","1680"
"Justin Thompson","Tigers","15","11","0","32","32","223.1","6.09","2.66","0.81",".258","76.3 %","","","3.02","3.83","","4.9","8217"
"Brad Radke","Twins","20","10","0","35","35","239.2","6.53","1.80","1.05",".285","70.1 %","","","3.87","3.81","","4.9","748"
"Scott Erickson","Orioles","16","7","0","34","33","221.2","5.32","2.48","0.65",".285","70.3 %","","","3.69","3.76","","4.7","137"
"Matt Morris","Cardinals","12","9","0","33","33","217.0","6.18","2.86","0.50",".296","73.4 %","","","3.19","3.51","","4.6","1172"
"John Burkett","Rangers","9","12","0","30","30","189.1","6.61","1.43","0.95",".346","68.3 %","","","4.56","3.55","","4.6","179"
"Tom Gordon","Red Sox","6","10","11","42","25","182.2","7.83","3.84","0.49",".277","68.0 %","","","3.74","3.41","","4.4","282"
"David Wells","Yankees","16","10","0","32","32","218.0","6.44","1.86","0.99",".311","70.6 %","","","4.21","3.81","","4.3","855"
"Darryl Kile","Astros","19","7","0","34","34","255.2","7.22","3.31","0.67",".260","78.8 %","","","2.57","3.69","","4.0","1163"
"Bob Tewksbury","Twins","8","13","0","26","26","168.2","4.91","1.65","0.64",".321","69.2 %","","","4.22","3.51","","4.0","1012941"
"Ismael Valdez","Dodgers","10","11","0","30","30","196.2","6.41","2.15","0.73",".263","77.0 %","","","2.65","3.51","","3.9","1283"
"Wilson Alvarez","- - -","13","11","0","33","33","212.0","7.60","3.86","0.76",".268","71.3 %","","","3.48","3.87","","3.8","1193"
"Pat Hentgen","Blue Jays","15","10","0","35","35","264.0","5.45","2.42","1.06",".272","74.8 %","","","3.68","4.31","","3.8","145"
"Andy Ashby","Padres","9","11","0","30","30","200.2","6.46","2.20","0.76",".299","64.5 %","","","4.13","3.58","","3.8","637"
"Shawn Estes","Giants","19","5","0","32","32","201.0","8.10","4.48","0.54",".274","75.0 %","","","3.18","3.70","","3.6","873"
"Rick Reed","Mets","13","9","0","33","31","208.1","4.88","1.34","0.82",".255","74.7 %","","","2.89","3.73","","3.6","750"
"Tom Glavine","Braves","14","7","0","33","33","240.0","5.70","2.96","0.75",".248","77.0 %","","","2.96","3.96","","3.6","90"
"Hideo Nomo","Dodgers","14","12","0","33","33","207.1","10.11","3.99","1.00",".311","72.6 %","","","4.25","3.77","","3.4","666"
"Alex Fernandez","Marlins","17","12","0","32","32","220.2","7.46","2.81","1.02",".270","74.9 %","","","3.59","3.92","","3.3","1003993"
"John Thomson","Rockies","7","9","0","27","27","166.1","5.74","2.76","0.81",".327","68.0 %","","","4.71","4.02","","3.3","453"
"Todd Stottlemyre","Cardinals","12","9","0","28","28","181.0","7.96","3.23","0.80",".274","69.7 %","","","3.88","3.77","","3.3","75"
"Jamie Moyer","Mariners","17","5","0","30","30","188.2","5.39","2.05","1.00",".275","74.7 %","","","3.86","4.15","","3.2","1091"
"Francisco Cordova","Pirates","11","8","0","29","29","178.2","6.10","2.47","0.71",".292","71.7 %","","","3.63","3.75","","3.2","1002623"
"Jon Lieber","Pirates","11","14","0","33","32","188.1","7.65","2.44","1.10",".301","67.2 %","","","4.49","3.83","","3.2","287"
"Jaime Navarro","White Sox","9","14","0","33","33","209.2","6.10","3.13","0.94",".342","60.2 %","","","5.79","4.21","","3.2","1009465"
"Mike Hampton","Astros","15","10","0","34","34","223.0","5.61","3.11","0.65",".284","69.8 %","","","3.83","3.86","","3.1","430"
"Kirk Rueter","Giants","13","6","0","32","32","190.2","5.43","2.41","0.80",".286","73.4 %","","","3.45","3.88","","3.0","1128"
"Pedro Astacio","- - -","12","10","0","33","31","202.1","7.38","2.71","1.07",".292","72.8 %","","","4.14","4.05","","3.0","862"
"Shane Reynolds","Astros","9","10","0","30","30","181.0","7.56","2.34","0.94",".308","69.2 %","","","4.23","3.62","","3.0","574"
"Willie Blair","Tigers","16","8","0","29","27","175.0","4.63","2.37","0.93",".289","71.5 %","","","4.17","4.26","","3.0","1001033"
"Chuck Finley","Angels","13","6","0","25","25","164.0","8.51","3.57","1.10",".297","73.7 %","","","4.23","4.08","","2.9","384"
"Charles Nagy","Indians","15","11","0","34","34","227.0","5.91","3.05","1.07",".309","74.2 %","","","4.28","4.45","","2.9","397"
"James Baldwin","White Sox","12","15","0","32","32","200.0","6.30","3.74","0.86",".294","61.9 %","","","5.27","4.26","","2.9","1064"
"Esteban Loaiza","Pirates","11","11","0","33","32","196.1","5.59","2.57","0.78",".306","70.9 %","","","4.13","4.03","","2.9","1310"
"Jimmy Key","Orioles","16","10","0","34","34","212.1","5.98","3.48","1.02",".286","78.6 %","","","3.43","4.48","","2.8","1006885"
