"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Pedro Martinez","Red Sox","23","4","0","31","29","213.1","13.20","1.56","0.38",".323","77.6 %","","","2.07","1.39","","11.6","200"
"Randy Johnson","Diamondbacks","17","9","0","35","35","271.2","12.06","2.32","0.99",".292","82.0 %","","","2.48","2.76","","9.5","60"
"Kevin Brown","Dodgers","18","9","0","35","35","252.0","7.89","2.11","0.68",".268","71.0 %","","","3.00","3.15","","7.3","642"
"Mike Mussina","Orioles","18","7","0","31","31","203.1","7.61","2.30","0.71",".318","72.4 %","","","3.50","3.25","","6.0","837"
"Shane Reynolds","Astros","16","14","0","35","35","231.2","7.65","1.44","0.89",".322","70.4 %","","","3.85","3.22","","6.0","574"
"Greg Maddux","Braves","19","9","0","33","33","219.1","5.58","1.52","0.66",".324","70.9 %","","","3.57","3.40","","5.6","104"
"Kevin Millwood","Braves","18","7","0","33","33","228.0","8.09","2.33","0.95",".235","76.5 %","","","2.68","3.53","","5.5","106"
"John Smoltz","Braves","11","8","0","29","29","186.1","7.53","1.93","0.68",".289","73.8 %","","","3.19","3.14","","5.4","115"
"Mike Hampton","Astros","22","4","0","34","34","239.0","6.67","3.80","0.45",".284","76.6 %","","","2.90","3.64","","4.9","430"
"Aaron Sele","Rangers","18","9","0","33","33","205.0","8.17","3.07","0.92",".353","71.1 %","","","4.79","3.85","","4.9","34"
"Jose Lima","Astros","21","10","0","35","35","246.1","6.83","1.61","1.10",".297","74.6 %","","","3.58","3.76","","4.7","475"
"Jamie Moyer","Mariners","14","8","0","32","32","228.0","5.41","1.89","0.91",".291","70.8 %","","","3.87","3.99","","4.6","1091"
"Jon Lieber","Cubs","10","11","0","31","31","203.1","8.23","2.04","1.24",".322","71.0 %","","","4.07","3.79","","4.5","287"
"Chuck Finley","Angels","12","11","0","33","33","213.1","8.44","3.97","0.97",".296","68.2 %","","","4.43","4.09","","4.4","384"
"Tom Glavine","Braves","14","11","0","35","35","234.0","5.31","3.19","0.69",".309","72.0 %","","","4.12","4.07","","4.2","90"
"Pedro Astacio","Rockies","17","11","0","34","34","232.0","8.15","2.91","1.47",".326","70.2 %","","","5.04","4.56","","4.2","862"
"Gil Heredia","Athletics","13","8","0","33","33","200.1","5.26","1.53","0.99",".307","63.1 %","","","4.81","4.02","","4.2","1005686"
"Dustin Hermanson","Expos","9","14","0","34","34","216.1","6.03","2.87","0.83",".298","70.0 %","","","4.20","4.05","","4.0","195"
"David Wells","Blue Jays","17","10","0","34","34","231.2","6.57","2.41","1.24",".298","67.6 %","","","4.82","4.35","","3.9","855"
"Mike Sirotka","White Sox","11","13","0","32","32","209.0","5.38","2.45","1.03",".303","71.7 %","","","4.00","4.29","","3.8","1012015"
"Freddy Garcia","Mariners","17","8","0","33","33","201.1","7.60","4.02","0.80",".312","74.7 %","","","4.07","4.10","","3.8","1077"
"Bartolo Colon","Indians","18","5","0","32","32","205.0","7.07","3.34","1.05",".273","73.0 %","","","3.95","4.30","","3.8","375"
"Jose Rosado","Royals","10","14","0","33","33","208.0","6.10","3.12","1.04",".270","71.1 %","","","3.85","4.39","","3.7","1011192"
"Brad Radke","Twins","12","14","0","33","33","218.2","4.98","1.81","1.15",".295","76.4 %","","","3.75","4.31","","3.7","748"
"Omar Daal","Diamondbacks","16","9","0","32","32","214.2","6.20","3.31","0.88",".261","74.4 %","","","3.65","4.23","","3.7","646"
"Eric Milton","Twins","7","11","0","34","34","206.1","7.11","2.75","1.22",".270","66.9 %","","","4.49","4.28","","3.6","743"
"Kenny Rogers","- - -","10","4","0","31","31","195.1","5.81","3.18","0.74",".306","70.4 %","","","4.19","4.17","","3.5","1277"
"David Cone","Yankees","12","9","0","31","31","193.1","8.24","4.19","0.98",".271","76.8 %","","","3.44","4.28","","3.4","1680"
"Kris Benson","Pirates","11","14","0","31","31","196.2","6.36","3.80","0.73",".282","67.0 %","","","4.07","4.14","","3.4","982"
"Orlando Hernandez","Yankees","17","9","0","33","33","214.1","6.59","3.65","1.01",".257","70.1 %","","","4.12","4.45","","3.4","823"
"Brian Moehler","Tigers","10","16","0","32","32","196.1","4.86","2.70","1.01",".311","67.8 %","","","5.04","4.52","","3.4","480"
"Darren Oliver","Cardinals","9","9","0","30","30","196.1","5.46","3.39","0.73",".291","71.7 %","","","4.26","4.28","","3.3","206"
"Al Leiter","Mets","13","12","0","32","32","213.0","6.85","3.93","0.80",".297","71.7 %","","","4.23","4.21","","3.3","883"
"Curt Schilling","Phillies","15","6","0","24","24","180.1","7.59","2.20","1.25",".263","77.5 %","","","3.54","4.07","","3.3","73"
"Charles Nagy","Indians","17","11","0","33","32","202.0","5.61","2.63","1.16",".316","68.6 %","","","4.95","4.52","","3.2","397"
"Steve Woodard","Brewers","11","8","0","31","29","185.0","5.79","1.75","1.12",".318","69.9 %","","","4.52","4.14","","3.2","1285"
"Roger Clemens","Yankees","14","10","0","30","30","187.2","7.82","4.32","0.96",".306","71.5 %","","","4.60","4.36","","3.2","815"
"Dave Burba","Indians","15","9","0","34","34","220.0","7.12","3.93","1.23",".286","74.0 %","","","4.25","4.74","","3.0","1239"
"Sterling Hitchcock","Padres","12","14","0","33","33","205.2","8.49","3.33","1.27",".294","75.9 %","","","4.11","4.26","","3.0","824"
"Jason Schmidt","Pirates","13","11","0","33","33","212.2","6.26","3.60","1.02",".288","72.1 %","","","4.19","4.45","","3.0","1131"
