"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Randy Johnson","Diamondbacks","21","6","0","35","34","249.2","13.41","2.56","0.68",".315","80.5 %","","","2.49","2.13","","10.4","60"
"Curt Schilling","Diamondbacks","22","6","0","35","35","256.2","10.27","1.37","1.30",".307","84.8 %","","","2.98","3.11","","7.2","73"
"Mike Mussina","Yankees","17","11","0","34","34","228.2","8.42","1.65","0.79",".289","73.2 %","","","3.15","2.92","","6.9","837"
"Greg Maddux","Braves","17","11","0","34","34","233.0","6.68","1.04","0.77",".286","74.3 %","","","3.05","3.12","","6.3","104"
"Matt Morris","Cardinals","22","8","0","34","34","216.1","7.70","2.25","0.54",".318","74.6 %","","","3.16","3.05","","6.1","1172"
"Javier Vazquez","Expos","16","11","0","32","32","223.2","8.37","1.77","0.97",".279","72.2 %","","","3.42","3.21","","6.1","801"
"Andy Pettitte","Yankees","15","10","0","31","31","200.2","7.36","1.84","0.63",".332","66.8 %","","","3.99","3.02","","5.8","840"
"Mark Mulder","Athletics","21","8","0","34","34","229.1","6.00","2.00","0.63",".282","71.9 %","","","3.45","3.35","","5.7","932"
"Roger Clemens","Yankees","20","3","0","33","33","220.1","8.70","2.94","0.78",".305","73.6 %","","","3.51","3.29","","5.6","815"
"Freddy Garcia","Mariners","18","6","0","34","34","238.2","6.15","2.60","0.60",".255","73.8 %","","","3.05","3.48","","5.3","1077"
"John Burkett","Braves","12","12","0","34","34","219.1","7.67","2.87","0.70",".273","75.3 %","","","3.04","3.39","","5.1","179"
"Tim Hudson","Athletics","18","9","0","35","35","235.0","6.93","2.72","0.77",".279","72.8 %","","","3.37","3.60","","5.1","921"
"Barry Zito","Athletics","17","8","0","35","35","214.1","8.61","3.36","0.76",".283","73.5 %","","","3.49","3.53","","4.8","944"
"Brad Penny","Marlins","10","10","0","31","31","205.0","6.76","2.37","0.66",".279","68.2 %","","","3.69","3.39","","4.6","535"
"Darryl Kile","Cardinals","16","11","0","34","34","227.1","7.09","2.57","0.87",".303","80.9 %","","","3.09","3.74","","4.5","1163"
