"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Justin Verlander","Tigers","17","8","0","33","33","238.1","9.03","2.27","0.72",".273","76.4 %","42.3 %","8.3 %","2.64","2.94","3.31","6.9","8700"
"Felix Hernandez","Mariners","13","9","0","33","33","232.0","8.65","2.17","0.54",".308","75.0 %","48.9 %","7.7 %","3.06","2.84","3.20","6.6","4772"
"Clayton Kershaw","Dodgers","14","9","0","33","33","227.2","9.05","2.49","0.63",".262","77.9 %","46.9 %","8.1 %","2.53","2.89","3.25","6.1","2036"
"Gio Gonzalez","Nationals","21","8","0","32","32","199.1","9.35","3.43","0.41",".267","74.1 %","48.2 %","5.8 %","2.89","2.82","3.38","5.0","7448"
"Cliff Lee","Phillies","6","9","0","30","30","211.0","8.83","1.19","1.11",".309","78.6 %","45.0 %","11.8 %","3.16","3.13","3.06","5.0","1636"
"Zack Greinke","- - -","15","5","0","34","34","212.1","8.48","2.29","0.76",".306","74.5 %","49.2 %","10.2 %","3.48","3.10","3.22","4.8","1943"
"R.A. Dickey","Mets","20","6","0","34","33","233.2","8.86","2.08","0.92",".275","80.0 %","46.1 %","11.3 %","2.73","3.27","3.27","4.7","1245"
"Yu Darvish","Rangers","16","9","0","29","29","191.1","10.40","4.19","0.66",".295","70.5 %","46.2 %","9.1 %","3.90","3.29","3.52","4.7","13074"
"Chris Sale","White Sox","17","8","0","30","29","192.0","9.00","2.39","0.89",".294","80.0 %","44.9 %","11.6 %","3.05","3.27","3.24","4.7","10603"
"Cole Hamels","Phillies","17","6","0","31","31","215.1","9.03","2.17","1.00",".290","78.1 %","43.4 %","11.9 %","3.05","3.30","3.23","4.6","4972"
"Max Scherzer","Tigers","16","7","0","32","32","187.2","11.08","2.88","1.10",".333","76.5 %","36.5 %","11.6 %","3.74","3.27","3.23","4.5","3137"
"David Price","Rays","20","5","0","31","31","211.0","8.74","2.52","0.68",".285","81.1 %","53.1 %","10.5 %","2.56","3.05","3.12","4.3","3184"
"Johnny Cueto","Reds","19","9","0","33","33","217.0","7.05","2.03","0.62",".296","78.8 %","48.9 %","7.9 %","2.78","3.27","3.65","4.3","6893"
"Jake Peavy","White Sox","11","12","0","32","32","219.0","7.97","2.01","1.11",".272","76.3 %","36.5 %","9.7 %","3.37","3.73","3.99","4.3","1051"
"CC Sabathia","Yankees","15","6","0","28","28","200.0","8.87","1.98","0.99",".288","71.6 %","48.2 %","12.5 %","3.38","3.33","3.20","4.1","404"
"Wade Miley","Diamondbacks","16","11","0","32","29","194.2","6.66","1.71","0.65",".293","72.0 %","43.3 %","6.9 %","3.33","3.15","3.75","3.9","8779"
"Adam Wainwright","Cardinals","14","13","0","32","32","198.2","8.34","2.36","0.68",".315","67.8 %","50.8 %","9.9 %","3.94","3.10","3.23","3.9","2233"
"James Shields","Rays","15","10","0","33","33","227.2","8.82","2.29","0.99",".292","71.9 %","52.3 %","13.4 %","3.52","3.47","3.24","3.8","7059"
"Jarrod Parker","Athletics","13","8","0","29","29","181.1","6.95","3.13","0.55",".290","74.3 %","44.3 %","6.8 %","3.47","3.43","3.95","3.7","4913"
"Matt Harrison","Rangers","18","11","0","32","32","213.1","5.61","2.49","0.93",".284","78.6 %","49.0 %","10.5 %","3.29","4.03","4.13","3.5","5551"
"A.J. Burnett","Pirates","16","10","0","31","31","202.1","8.01","2.76","0.80",".294","74.1 %","56.9 %","12.7 %","3.51","3.52","3.40","3.5","512"
"Anibal Sanchez","- - -","9","13","0","31","31","195.2","7.68","2.21","0.92",".310","70.2 %","46.4 %","10.7 %","3.86","3.53","3.60","3.5","3284"
"Hiroki Kuroda","Yankees","16","11","0","33","33","219.2","6.84","2.09","1.02",".281","77.7 %","52.3 %","13.0 %","3.32","3.86","3.67","3.4","3283"
"Jordan Zimmermann","Nationals","12","8","0","32","32","195.2","7.04","1.98","0.83",".288","79.3 %","43.4 %","9.2 %","2.94","3.51","3.78","3.4","4505"
"Kyle Lohse","Cardinals","16","3","0","33","33","211.0","6.10","1.62","0.81",".262","77.2 %","40.5 %","8.2 %","2.86","3.51","3.96","3.3","739"
"Josh Johnson","Marlins","8","14","0","31","31","191.1","7.76","3.06","0.66",".302","71.9 %","46.2 %","8.4 %","3.81","3.40","3.73","3.3","4567"
"Matt Cain","Giants","16","5","0","32","32","219.1","7.92","2.09","0.86",".259","79.0 %","37.4 %","8.4 %","2.79","3.40","3.82","3.2","4732"
"Tommy Milone","Athletics","13","10","0","31","31","190.0","6.49","1.71","1.14",".310","73.6 %","38.1 %","10.7 %","3.74","3.93","4.02","3.1","7608"
"Jered Weaver","Angels","20","5","0","30","30","188.2","6.77","2.15","0.95",".241","79.2 %","36.0 %","8.6 %","2.81","3.75","4.18","3.1","4235"
"Rick Porcello","Tigers","10","12","0","31","31","176.1","5.46","2.25","0.82",".344","69.0 %","53.2 %","11.5 %","4.59","3.91","3.89","3.0","2717"
"Chris Capuano","Dodgers","12","12","0","33","33","198.1","7.35","2.45","1.13",".284","73.2 %","40.3 %","11.1 %","3.72","3.95","3.97","2.8","1701"
"Justin Masterson","Indians","11","15","0","34","34","206.1","6.94","3.84","0.79",".309","66.4 %","55.7 %","11.4 %","4.93","4.16","4.15","2.8","2038"
"Wandy Rodriguez","- - -","12","13","0","34","33","205.2","6.08","2.45","0.92",".280","70.3 %","48.0 %","10.1 %","3.76","3.93","4.09","2.8","2586"
"Mat Latos","Reds","14","4","0","33","33","209.1","7.95","2.75","1.07",".266","75.5 %","45.6 %","11.8 %","3.48","3.85","3.79","2.8","3815"
"Ryan Dempster","- - -","12","8","0","28","28","173.0","7.96","2.71","0.99",".277","75.7 %","43.5 %","10.7 %","3.38","3.69","3.77","2.7","517"
"Lucas Harrell","Astros","11","11","0","32","32","193.2","6.51","3.62","0.60",".289","70.8 %","57.2 %","9.7 %","3.76","3.75","3.89","2.7","7541"
"Jeff Samardzija","Cubs","9","13","0","28","28","174.2","9.27","2.89","1.03",".296","73.0 %","44.6 %","12.8 %","3.81","3.55","3.38","2.7","3254"
"Madison Bumgarner","Giants","16","11","0","32","32","208.1","8.25","2.12","0.99",".276","73.5 %","47.9 %","11.7 %","3.37","3.50","3.45","2.7","5524"
"Lance Lynn","Cardinals","18","7","0","35","29","176.0","9.20","3.27","0.82",".321","75.6 %","43.8 %","10.4 %","3.78","3.49","3.60","2.6","2520"
"C.J. Wilson","Angels","13","10","0","34","34","202.1","7.70","4.05","0.85",".281","70.0 %","50.3 %","10.8 %","3.83","4.04","4.10","2.6","3580"
"Jon Niese","Mets","13","9","0","30","30","190.1","7.33","2.32","1.04",".272","76.5 %","48.3 %","12.6 %","3.40","3.80","3.64","2.5","4424"
"Joe Blanton","- - -","10","13","0","31","30","191.0","7.82","1.60","1.37",".310","67.9 %","44.6 %","15.3 %","4.71","3.91","3.39","2.5","4849"
"Homer Bailey","Reds","13","10","0","33","33","208.0","7.27","2.25","1.13",".290","73.6 %","44.9 %","11.5 %","3.68","3.97","3.94","2.5","8362"
"Matt Moore","Rays","11","11","0","31","31","177.1","8.88","4.11","0.91",".293","72.9 %","37.4 %","8.6 %","3.81","3.93","4.35","2.4","1890"
"Jon Lester","Red Sox","9","14","0","33","33","205.1","7.28","2.98","1.10",".312","67.6 %","49.2 %","13.9 %","4.82","4.11","3.82","2.4","4930"
"Trevor Cahill","Diamondbacks","13","12","0","32","32","200.0","7.02","3.33","0.72",".289","71.4 %","61.2 %","12.3 %","3.78","3.85","3.76","2.4","6249"
"Scott Diamond","Twins","12","9","0","27","27","173.0","4.68","1.61","0.88",".292","73.3 %","53.4 %","11.4 %","3.54","3.94","3.93","2.4","5089"
"Ian Kennedy","Diamondbacks","15","12","0","33","33","208.1","8.08","2.38","1.21",".306","74.9 %","37.3 %","10.8 %","4.02","4.04","4.13","2.4","6986"
"Ricky Nolasco","Marlins","12","13","0","31","31","191.0","5.89","2.21","0.85",".309","69.3 %","46.6 %","9.1 %","4.48","3.87","4.17","2.3","3830"
"Bronson Arroyo","Reds","12","10","0","32","32","202.0","5.75","1.56","1.16",".286","76.7 %","41.4 %","10.6 %","3.74","4.08","4.19","2.2","978"
"Wei-Yin Chen","Orioles","12","11","0","32","32","192.2","7.19","2.66","1.35",".274","72.8 %","37.1 %","11.7 %","4.02","4.42","4.34","2.2","13071"
"Aaron Harang","Dodgers","10","10","0","31","31","179.2","6.56","4.26","0.70",".277","72.3 %","38.6 %","6.3 %","3.61","4.14","4.95","2.2","1451"
"Edwin Jackson","Nationals","10","11","0","31","31","189.2","7.97","2.75","1.09",".278","71.2 %","47.3 %","11.7 %","4.03","3.85","3.79","2.1","1841"
"Joe Saunders","- - -","9","13","0","28","28","174.2","5.77","2.01","1.08",".305","71.6 %","43.1 %","10.2 %","4.07","4.08","4.25","2.1","4366"
"Yovani Gallardo","Brewers","16","9","0","33","33","204.0","9.00","3.57","1.15",".290","78.4 %","47.7 %","14.9 %","3.66","3.94","3.55","2.0","8173"
"Josh Beckett","- - -","7","14","0","28","28","170.1","6.97","2.75","1.11",".294","69.4 %","42.5 %","10.8 %","4.65","4.15","4.22","2.0","510"
"Phil Hughes","Yankees","16","13","0","32","32","191.1","7.76","2.16","1.65",".286","73.9 %","32.4 %","12.4 %","4.19","4.56","4.35","2.0","7450"
"Jake Westbrook","Cardinals","13","11","0","28","28","174.2","5.46","2.68","0.62",".312","70.9 %","58.1 %","10.0 %","3.97","3.80","3.92","2.0","412"
"Ryan Vogelsong","Giants","14","9","0","31","31","189.2","7.50","2.94","0.81",".284","76.0 %","43.5 %","8.2 %","3.37","3.70","4.15","1.9","1011"
"Gavin Floyd","White Sox","12","11","0","29","29","168.0","7.71","3.38","1.18",".299","74.9 %","47.2 %","12.8 %","4.29","4.46","4.26","1.9","3886"
"Dan Haren","Angels","12","13","0","30","30","176.2","7.23","1.94","1.43",".302","70.9 %","39.6 %","12.8 %","4.33","4.24","4.00","1.8","1757"
"James McDonald","Pirates","12","8","0","30","29","171.0","7.95","3.63","1.11",".269","70.8 %","39.2 %","11.3 %","4.21","4.21","4.21","1.7","5523"
"Paul Maholm","- - -","13","11","0","32","31","189.0","6.67","2.52","0.95",".281","75.7 %","51.2 %","12.8 %","3.67","4.00","3.84","1.7","8678"
"Bud Norris","Astros","7","13","0","29","29","168.1","8.82","3.53","1.23",".301","72.1 %","39.2 %","12.0 %","4.65","4.23","4.12","1.7","9492"
"Luis Mendoza","Royals","8","10","0","30","25","166.0","5.64","3.20","0.81",".310","72.0 %","52.1 %","10.6 %","4.23","4.28","4.36","1.7","3126"
"Bruce Chen","Royals","11","14","0","34","34","191.2","6.57","2.21","1.55",".304","69.7 %","32.7 %","11.9 %","5.07","4.73","4.62","1.6","769"
"Mark Buehrle","Marlins","13","13","0","31","31","202.1","5.56","1.78","1.16",".270","74.8 %","41.3 %","11.4 %","3.74","4.18","4.17","1.6","225"
"Tim Hudson","Braves","16","7","0","28","28","179.0","5.13","2.41","0.60",".270","71.1 %","55.5 %","8.3 %","3.62","3.78","4.10","1.6","921"
"Ross Detwiler","Nationals","10","8","0","33","27","164.1","5.75","2.85","0.82",".263","70.8 %","50.8 %","9.0 %","3.40","4.04","4.34","1.6","2859"
"Jason Vargas","Mariners","14","11","0","33","33","217.1","5.84","2.28","1.45",".254","78.6 %","40.2 %","12.8 %","3.85","4.69","4.45","1.5","8044"
