"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Mark Prior","Cubs","18","6","0","30","30","211.1","10.43","2.13","0.64",".309","79.2 %","41.0 %","7.5 %","2.43","2.47","2.92","7.8","301"
"Pedro Martinez","Red Sox","14","4","0","29","29","186.2","9.93","2.27","0.34",".292","78.2 %","41.2 %","4.0 %","2.22","2.21","3.08","7.4","200"
"Roy Halladay","Blue Jays","22","7","0","36","36","266.0","6.90","1.08","0.88",".284","71.0 %","58.4 %","14.3 %","3.25","3.23","2.96","7.0","1303"
"Esteban Loaiza","White Sox","21","9","0","34","34","226.1","8.23","2.23","0.68",".283","78.5 %","46.4 %","8.7 %","2.90","3.05","3.34","6.9","1310"
"Jason Schmidt","Giants","17","5","0","29","29","207.2","9.01","1.99","0.61",".253","80.2 %","37.0 %","6.2 %","2.34","2.64","3.35","6.6","1131"
"Mike Mussina","Yankees","17","8","0","31","31","214.2","8.18","1.68","0.88",".287","72.5 %","40.8 %","9.5 %","3.40","3.09","3.32","6.1","837"
"Kevin Brown","Dodgers","14","9","0","32","32","211.0","7.89","2.39","0.47",".289","77.5 %","62.5 %","10.7 %","2.39","2.82","2.86","6.1","642"
"Javier Vazquez","Expos","13","12","0","34","34","230.2","9.40","2.22","1.09",".280","75.5 %","35.7 %","10.6 %","3.24","3.31","3.41","6.0","801"
"Tim Hudson","Athletics","16","7","0","34","34","240.0","6.08","2.29","0.56",".253","74.5 %","57.9 %","9.0 %","2.70","3.38","3.58","5.8","921"
"Curt Schilling","Diamondbacks","8","9","0","24","24","168.0","10.39","1.71","0.91",".297","78.0 %","41.5 %","10.8 %","2.95","2.66","2.71","5.6","73"
"Andy Pettitte","Yankees","21","8","0","33","33","208.1","7.78","2.16","0.91",".320","68.0 %","52.2 %","12.4 %","4.02","3.35","3.23","5.1","840"
"Bartolo Colon","White Sox","15","13","0","34","34","242.0","6.43","2.49","1.12",".272","74.3 %","36.9 %","10.1 %","3.87","4.11","4.29","4.7","375"
"Carlos Zambrano","Cubs","13","11","0","32","32","214.0","7.07","3.95","0.38",".286","73.0 %","55.4 %","6.4 %","3.11","3.47","3.88","4.7","305"
"Kevin Millwood","Phillies","14","12","0","35","35","222.0","6.85","2.76","0.77",".285","70.1 %","39.3 %","7.9 %","4.01","3.59","4.07","4.7","106"
"Mark Mulder","Athletics","15","9","0","26","26","186.2","6.17","1.93","0.72",".294","77.6 %","55.7 %","10.6 %","3.13","3.38","3.44","4.5","932"
"Woody Williams","Cardinals","18","9","0","34","33","220.2","6.24","2.24","0.82",".284","71.7 %","37.6 %","7.3 %","3.87","3.72","4.35","4.5","1190"
"Roger Clemens","Yankees","17","9","0","33","33","211.2","8.08","2.47","1.02",".291","71.4 %","44.4 %","11.5 %","3.91","3.60","3.57","4.5","815"
"Barry Zito","Athletics","14","12","0","35","35","231.2","5.67","3.42","0.74",".239","71.8 %","39.3 %","6.4 %","3.30","4.05","4.85","4.4","944"
"Sidney Ponson","- - -","17","12","0","31","31","216.0","5.58","2.54","0.67",".286","71.9 %","52.6 %","8.0 %","3.75","3.67","4.06","4.4","161"
"Livan Hernandez","Expos","15","10","0","33","33","233.1","6.87","2.20","1.04",".285","78.7 %","45.4 %","12.2 %","3.20","3.87","3.75","4.4","1116"
"Brandon Webb","Diamondbacks","10","9","0","29","28","180.2","8.57","3.39","0.60",".264","76.4 %","63.9 %","15.4 %","2.84","3.34","3.10","4.3","1692"
"Mark Buehrle","White Sox","14","14","0","35","35","230.1","4.65","2.38","0.86",".296","67.3 %","43.7 %","8.6 %","4.14","4.10","4.48","4.3","225"
"Miguel Batista","Diamondbacks","10","9","0","36","29","193.1","6.61","2.79","0.61",".307","72.9 %","52.1 %","8.3 %","3.54","3.49","3.80","4.3","46"
"Kerry Wood","Cubs","14","11","0","32","32","211.0","11.35","4.27","1.02",".269","81.9 %","41.5 %","13.2 %","3.20","3.71","3.49","4.2","304"
"Mark Redman","Marlins","14","9","0","29","29","190.2","7.13","2.88","0.76",".274","72.4 %","39.2 %","7.1 %","3.59","3.58","4.21","4.2","491"
"John Thomson","Rangers","13","14","0","35","35","217.0","5.64","2.03","1.12",".298","65.0 %","44.7 %","12.6 %","4.85","4.13","3.95","3.9","453"
"Jamie Moyer","Mariners","21","7","0","33","33","215.0","5.40","2.76","0.80",".267","77.1 %","38.3 %","6.6 %","3.27","4.01","4.82","3.8","1091"
"David Wells","Yankees","15","7","0","31","30","213.0","4.27","0.85","1.01",".297","71.5 %","43.0 %","10.0 %","4.14","3.94","4.11","3.8","855"
"Ben Sheets","Brewers","11","13","0","34","34","220.2","6.40","1.75","1.18",".292","66.1 %","44.4 %","11.6 %","4.45","3.98","3.93","3.8","710"
"Tim Wakefield","Red Sox","11","7","1","35","33","202.1","7.52","3.16","1.02",".285","69.7 %","40.3 %","9.7 %","4.09","4.07","4.31","3.6","219"
"Greg Maddux","Braves","16","11","0","36","36","218.1","5.11","1.36","0.99",".282","66.3 %","50.7 %","13.0 %","3.96","3.89","3.69","3.6","104"
"CC Sabathia","Indians","13","9","0","30","30","197.2","6.42","3.01","0.87",".285","75.2 %","40.4 %","9.1 %","3.60","3.95","4.23","3.5","404"
"Joel Pineiro","Mariners","16","11","0","32","32","211.2","6.42","3.23","0.81",".271","72.8 %","45.4 %","8.5 %","3.78","3.93","4.30","3.5","1094"
"Kelvim Escobar","Blue Jays","13","9","4","41","26","180.1","7.94","3.89","0.75",".325","71.4 %","48.1 %","9.0 %","4.29","3.80","4.07","3.4","1298"
"Hideo Nomo","Dodgers","16","13","0","33","33","218.1","7.30","4.04","0.99",".253","79.9 %","39.8 %","10.4 %","3.09","4.20","4.31","3.3","666"
"Carl Pavano","Marlins","12","13","0","33","32","201.0","5.96","2.19","0.85",".290","69.0 %","38.9 %","8.3 %","4.30","3.77","4.21","3.3","790"
"Wade Miller","Astros","14","13","0","33","33","187.1","7.73","3.70","0.82",".284","68.8 %","45.1 %","9.6 %","4.13","3.89","4.09","3.3","568"
"Jae Seo","Mets","9","12","0","32","31","188.1","5.26","2.20","0.86",".280","68.7 %","38.0 %","7.3 %","3.82","3.93","4.60","3.2","895"
"Ted Lilly","Athletics","12","10","0","32","31","178.1","7.42","2.93","1.21",".288","72.0 %","33.3 %","11.1 %","4.34","4.19","4.21","3.1","833"
"Brad Penny","Marlins","14","10","0","32","32","196.1","6.33","2.57","0.96",".293","70.4 %","43.5 %","9.6 %","4.13","3.92","4.15","3.1","535"
"Tomo Ohka","Expos","10","12","0","34","34","199.0","5.34","2.04","1.09",".313","71.4 %","44.9 %","11.6 %","4.16","4.23","4.18","3.0","788"
