"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Johan Santana","Twins","19","6","0","34","34","233.2","9.44","1.81","0.92",".269","77.7 %","40.4 %","9.9 %","2.77","3.04","3.16","6.7","755"
"Brandon Webb","Diamondbacks","16","8","0","33","33","235.0","6.82","1.91","0.57",".287","72.1 %","66.3 %","13.2 %","3.10","3.18","3.03","6.5","1692"
"Roy Oswalt","Astros","15","8","0","33","32","220.2","6.77","1.55","0.73",".302","78.7 %","48.8 %","8.6 %","2.98","3.30","3.57","6.1","571"
"Aaron Harang","Reds","16","11","0","36","35","234.1","8.30","2.15","1.08",".312","73.8 %","38.5 %","10.5 %","3.76","3.68","3.72","5.7","1451"
"Jeremy Bonderman","Tigers","14","8","0","34","34","214.0","8.50","2.69","0.76",".318","69.2 %","48.2 %","9.0 %","4.08","3.29","3.52","5.6","1667"
"John Smoltz","Braves","16","9","0","35","35","232.0","8.19","2.13","0.89",".299","76.0 %","46.3 %","10.2 %","3.49","3.44","3.52","5.5","115"
"John Lackey","Angels","13","11","0","33","33","217.2","7.86","2.98","0.58",".297","70.4 %","43.0 %","5.7 %","3.56","3.35","4.11","5.3","1507"
"Mike Mussina","Yankees","15","7","0","32","32","197.1","7.84","1.60","1.00",".284","70.4 %","42.4 %","9.4 %","3.51","3.46","3.68","5.2","837"
"Roy Halladay","Blue Jays","16","5","0","32","32","220.0","5.40","1.39","0.78",".276","74.9 %","57.5 %","12.5 %","3.19","3.60","3.45","5.1","1303"
"CC Sabathia","Indians","12","11","0","28","28","192.2","8.03","2.06","0.79",".294","71.7 %","45.1 %","8.4 %","3.22","3.30","3.63","5.0","404"
"Chris Carpenter","Cardinals","15","8","0","32","32","221.2","7.47","1.75","0.85",".271","76.3 %","53.3 %","11.5 %","3.09","3.44","3.36","5.0","1292"
"Javier Vazquez","White Sox","11","12","0","33","32","202.2","8.17","2.49","1.02",".308","65.8 %","40.2 %","9.3 %","4.84","3.86","4.10","4.7","801"
"Erik Bedard","Orioles","15","11","0","33","33","196.1","7.84","3.16","0.73",".309","71.9 %","48.8 %","9.0 %","3.76","3.59","3.80","4.6","126"
"Bronson Arroyo","Reds","14","11","0","35","35","240.2","6.88","2.39","1.16",".270","78.0 %","38.2 %","10.5 %","3.29","4.15","4.20","4.6","978"
"Curt Schilling","Red Sox","15","7","0","31","31","204.0","8.07","1.24","1.24",".324","76.0 %","39.8 %","11.4 %","3.97","3.59","3.50","4.6","73"
"Jake Peavy","Padres","11","14","0","32","32","202.1","9.56","2.76","1.02",".304","72.7 %","38.0 %","9.6 %","4.09","3.51","3.70","4.4","1051"
"Derek Lowe","Dodgers","16","8","0","35","34","218.0","5.08","2.27","0.58",".289","70.4 %","67.0 %","11.2 %","3.63","3.68","3.65","4.4","199"
"Greg Maddux","- - -","15","14","0","34","34","210.0","5.01","1.59","0.86",".289","64.5 %","50.7 %","10.4 %","4.20","3.80","3.85","4.3","104"
"Kevin Millwood","Rangers","16","12","0","34","34","215.0","6.57","2.22","0.96",".306","67.6 %","44.7 %","9.8 %","4.52","3.87","4.02","4.3","106"
"Jason Jennings","Rockies","9","13","0","32","32","212.0","6.03","3.61","0.72",".289","74.0 %","43.9 %","7.0 %","3.78","4.09","4.66","4.2","434"
"Jose Contreras","White Sox","13","9","0","30","30","196.0","6.15","2.53","0.92",".283","68.4 %","44.6 %","8.3 %","4.27","4.10","4.51","4.0","1660"
"Chris Capuano","Brewers","11","12","0","34","34","221.1","7.08","1.91","1.18",".295","72.4 %","39.9 %","10.5 %","4.03","4.04","4.08","4.0","1701"
"Kelvim Escobar","Angels","11","14","0","30","30","189.1","6.99","2.38","0.81",".306","68.9 %","44.7 %","8.1 %","3.61","3.62","4.00","4.0","1298"
"Carlos Zambrano","Cubs","16","7","0","33","33","214.0","8.83","4.84","0.84",".252","75.6 %","46.9 %","10.0 %","3.41","4.14","4.24","3.9","305"
"Dan Haren","Athletics","14","13","0","34","34","223.0","7.10","1.82","1.25",".289","72.2 %","45.2 %","12.5 %","4.12","4.12","3.87","3.8","1757"
"Jason Schmidt","Giants","11","9","0","32","32","213.1","7.59","3.38","0.89",".277","73.7 %","37.4 %","7.9 %","3.59","3.95","4.42","3.8","1131"
"Dave Bush","Brewers","12","11","0","34","32","210.0","7.11","1.63","1.11",".282","66.2 %","46.6 %","12.1 %","4.41","3.98","3.80","3.8","4635"
"Chien-Ming Wang","Yankees","19","6","1","34","33","218.0","3.14","2.15","0.50",".292","72.2 %","62.8 %","7.8 %","3.63","3.91","4.19","3.8","2074"
"Matt Cain","Giants","13","12","0","32","31","190.2","8.45","4.11","0.85",".263","69.8 %","35.6 %","7.1 %","4.15","3.96","4.59","3.8","4732"
"Aaron Cook","Rockies","9","15","0","32","32","212.2","3.89","2.33","0.72",".302","70.3 %","57.6 %","9.6 %","4.23","4.20","4.33","3.6","1571"
