"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"John Smoltz","Braves","24","8","0","35","35","253.2","9.79","1.95","0.67",".280","71.1 %","","","2.94","2.64","","8.4","115"
"Greg Maddux","Braves","15","11","0","35","35","245.0","6.32","1.03","0.40",".280","71.1 %","","","2.72","2.73","","7.8","104"
"Roger Clemens","Red Sox","10","13","0","34","34","242.2","9.53","3.93","0.70",".305","73.5 %","","","3.63","3.43","","6.8","815"
"Kevin Brown","Marlins","17","11","0","32","32","233.0","6.14","1.27","0.31",".259","78.3 %","","","1.89","2.88","","6.7","642"
"Kevin Appier","Royals","14","11","0","32","32","211.1","8.82","3.19","0.72",".307","74.5 %","","","3.62","3.39","","6.3","3"
"Pat Hentgen","Blue Jays","20","10","0","35","35","265.2","6.00","3.18","0.68",".271","75.1 %","","","3.22","3.94","","6.0","145"
"Jeff Fassero","Expos","15","11","0","34","34","231.2","8.62","2.14","0.78",".295","72.9 %","","","3.30","3.13","","5.9","279"
"Ken Hill","Rangers","16","10","0","35","35","250.2","6.10","3.41","0.68",".300","74.3 %","","","3.63","4.01","","5.6","1005827"
"Shane Reynolds","Astros","16","10","0","35","35","239.0","7.68","1.66","0.75",".294","70.1 %","","","3.65","3.21","","5.5","574"
"Charles Nagy","Indians","17","5","0","32","32","222.0","6.77","2.47","0.85",".293","76.3 %","","","3.41","3.76","","5.4","397"
"Mike Mussina","Orioles","19","11","0","36","36","243.1","7.55","2.55","1.15",".318","68.0 %","","","4.81","4.04","","5.3","837"
"Tom Glavine","Braves","15","10","0","36","36","235.1","6.92","3.25","0.54",".291","75.2 %","","","2.98","3.49","","5.3","90"
"Pedro Martinez","Expos","13","10","0","33","33","216.2","9.22","2.91","0.79",".290","68.8 %","","","3.70","3.27","","5.1","200"
"Chuck Finley","Angels","15","16","0","35","35","238.0","8.13","3.55","1.02",".310","72.0 %","","","4.16","4.16","","5.0","384"
"Alex Fernandez","White Sox","16","10","0","35","35","258.0","6.98","2.51","1.19",".282","77.7 %","","","3.45","4.25","","4.7","1003993"
"Curt Schilling","Phillies","9","10","0","26","26","183.1","8.93","2.45","0.79",".277","74.1 %","","","3.19","3.19","","4.7","73"
"Juan Guzman","Blue Jays","11","8","0","27","27","187.2","7.91","2.54","0.96",".270","79.0 %","","","2.93","3.76","","4.6","1005162"
"Andy Pettitte","Yankees","21","8","0","35","34","221.0","6.60","2.93","0.94",".308","73.2 %","","","3.87","4.08","","4.6","840"
"John Burkett","- - -","11","12","0","34","34","222.2","6.26","2.34","0.77",".301","65.9 %","","","4.24","3.74","","4.6","179"
"John Smiley","Reds","13","14","0","35","34","217.1","7.08","2.24","0.83",".292","69.6 %","","","3.64","3.59","","4.5","1012084"
"Ismael Valdez","Dodgers","15","7","0","33","33","225.0","6.92","2.16","0.80",".286","73.4 %","","","3.32","3.55","","4.4","1283"
"Hideo Nomo","Dodgers","16","11","0","33","33","228.1","9.22","3.35","0.91",".267","74.1 %","","","3.19","3.57","","4.4","666"
"Wilson Alvarez","White Sox","15","10","0","35","35","217.1","7.50","4.02","0.87",".303","73.4 %","","","4.22","4.16","","4.2","1193"
"Ben McDonald","Brewers","12","10","0","35","35","221.1","5.94","2.72","1.02",".287","74.1 %","","","3.90","4.31","","4.2","1008454"
"Chris Haney","Royals","10","14","0","35","35","228.0","4.54","2.01","1.14",".302","66.3 %","","","4.70","4.57","","3.9","192"
"Orel Hershiser","Indians","15","9","0","33","33","206.0","5.46","2.53","0.92",".314","69.3 %","","","4.24","4.30","","3.8","1005741"
"Tim Belcher","Royals","15","11","0","35","35","238.2","4.26","2.56","1.06",".290","73.8 %","","","3.92","4.68","","3.8","1000789"
"Bob Tewksbury","Padres","10","10","0","36","33","206.2","5.49","1.87","0.74",".299","62.6 %","","","4.31","3.69","","3.8","1012941"
"Mark Clark","Mets","14","11","0","32","32","212.1","6.02","2.03","0.85",".294","70.8 %","","","3.43","3.78","","3.7","1002296"
"Darryl Kile","Astros","12","11","0","35","33","219.0","9.00","3.99","0.66",".346","72.0 %","","","4.19","3.67","","3.7","1163"
"Scott Erickson","Orioles","13","12","0","34","34","222.1","4.05","2.67","0.85",".313","65.3 %","","","5.02","4.54","","3.6","137"
"Jack McDowell","Indians","13","9","0","30","30","192.0","6.61","3.14","1.03",".314","65.3 %","","","5.11","4.30","","3.5","1008473"
"David Wells","Orioles","11","14","0","34","34","224.1","5.22","2.05","1.28",".296","66.5 %","","","5.14","4.64","","3.4","855"
"Denny Neagle","- - -","16","9","0","33","33","221.1","6.06","1.95","1.06",".292","76.5 %","","","3.50","4.04","","3.4","441"
"Joey Hamilton","Padres","15","9","0","34","33","211.2","7.82","3.53","0.81",".305","73.0 %","","","4.17","3.90","","3.4","328"
"Al Leiter","Marlins","16","12","0","33","33","215.1","8.36","4.97","0.59",".252","79.4 %","","","2.93","3.97","","3.4","883"
"Jaime Navarro","Cubs","15","12","0","35","35","236.2","6.01","2.74","0.95",".295","72.2 %","","","3.92","4.25","","3.2","1009465"
"Erik Hanson","Blue Jays","13","17","0","35","35","214.2","6.54","4.28","1.09",".324","65.7 %","","","5.41","4.75","","3.0","1005333"
"Brad Radke","Twins","11","16","0","35","35","232.0","5.74","2.21","1.55",".264","70.8 %","","","4.46","4.93","","2.8","748"
"Donovan Osborne","Cardinals","13","9","0","30","30","198.2","6.07","2.58","1.00",".278","74.2 %","","","3.53","4.14","","2.8","299"
"Tom Gordon","Red Sox","12","9","0","34","34","215.2","7.14","4.38","1.17",".320","67.4 %","","","5.59","4.79","","2.8","282"
"Jimmy Key","Yankees","12","11","0","30","30","169.1","6.17","3.08","1.12",".290","68.5 %","","","4.68","4.48","","2.7","1006885"
"Sterling Hitchcock","Mariners","13","9","0","35","35","196.2","6.04","3.34","1.24",".337","67.6 %","","","5.35","4.83","","2.7","824"
"Kevin Tapani","White Sox","13","10","0","34","34","225.1","5.99","3.04","1.36",".285","71.8 %","","","4.59","4.85","","2.7","1012824"
"Pedro Astacio","Dodgers","9","8","0","35","32","211.2","5.53","2.85","0.77",".286","76.4 %","","","3.44","4.13","","2.6","862"
"Bobby Witt","Rangers","16","12","0","33","32","199.2","7.08","4.33","1.26",".334","69.4 %","","","5.41","4.89","","2.5","1014170"
"Terry Mulholland","- - -","13","11","0","33","33","202.2","3.82","2.18","0.98",".296","68.2 %","","","4.66","4.53","","2.5","665"
"Danny Darwin","- - -","10","11","0","33","25","164.2","5.25","1.48","0.87",".274","68.0 %","","","3.77","3.98","","2.5","1002996"
"James Baldwin","White Sox","11","6","0","28","28","169.0","6.76","3.04","1.28",".284","72.2 %","","","4.42","4.60","","2.5","1064"
"Andy Benes","Cardinals","18","10","1","36","34","230.1","6.25","3.01","1.09",".270","73.8 %","","","3.83","4.44","","2.4","1144"
"Scott Karl","Brewers","13","9","0","32","32","207.1","5.25","3.13","1.26",".284","68.2 %","","","4.86","5.02","","2.4","1006703"
"Roger Pavlik","Rangers","15","8","0","34","34","201.0","5.69","3.63","1.25",".296","69.3 %","","","5.19","5.00","","2.4","1010087"
"Dave Burba","Reds","11","13","0","34","33","195.0","6.83","4.48","0.83",".276","72.0 %","","","3.83","4.38","","2.3","1239"
"Todd Stottlemyre","Cardinals","14","11","0","34","33","223.1","7.82","3.75","1.21",".258","76.4 %","","","3.87","4.48","","2.3","75"
"Darren Oliver","Rangers","14","6","0","30","30","173.2","5.80","3.94","1.04",".304","72.2 %","","","4.66","4.86","","2.3","206"
"Kenny Rogers","Yankees","12","8","0","30","30","179.0","4.63","4.17","0.80",".278","69.9 %","","","4.68","4.83","","2.2","1277"
"Frank Rodriguez","Twins","13","14","2","38","33","206.2","4.79","3.40","1.18",".281","65.4 %","","","5.05","5.01","","2.2","1011106"
"Felipe Lira","Tigers","6","14","0","32","32","194.2","5.22","3.05","1.39",".276","66.0 %","","","5.22","5.19","","2.2","1007649"
"Jason Isringhausen","Mets","6","14","0","27","27","171.2","5.98","3.83","0.68",".317","66.5 %","","","4.77","4.24","","2.1","1158"
