"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Zack Greinke","Royals","16","8","0","33","33","229.1","9.50","2.00","0.43",".303","79.3 %","40.0 %","4.5 %","2.16","2.33","3.09","8.7","1943"
"Justin Verlander","Tigers","19","9","0","35","35","240.0","10.09","2.36","0.75",".319","72.7 %","36.0 %","7.4 %","3.45","2.80","3.20","8.4","8700"
"Tim Lincecum","Giants","15","7","0","32","32","225.1","10.42","2.72","0.40",".282","75.9 %","47.5 %","5.5 %","2.48","2.34","2.83","7.6","5705"
"Felix Hernandez","Mariners","19","5","0","34","34","238.2","8.18","2.68","0.57",".278","76.7 %","53.4 %","7.5 %","2.49","3.09","3.37","6.9","4772"
"Roy Halladay","Blue Jays","17","10","0","32","32","239.0","7.83","1.32","0.83",".306","79.0 %","50.2 %","10.6 %","2.79","3.06","3.00","6.8","1303"
"Cliff Lee","- - -","14","13","0","34","34","231.2","7.03","1.67","0.66",".315","76.2 %","41.3 %","6.5 %","3.22","3.11","3.64","6.4","1636"
"Javier Vazquez","Braves","15","10","0","32","32","219.1","9.77","1.81","0.82",".283","76.6 %","41.7 %","10.1 %","2.87","2.77","2.77","5.9","801"
"CC Sabathia","Yankees","19","8","0","34","34","230.0","7.71","2.62","0.70",".277","71.4 %","42.9 %","7.4 %","3.37","3.39","3.77","5.8","404"
"Josh Johnson","Marlins","15","5","0","33","33","209.0","8.22","2.50","0.60",".290","74.9 %","50.3 %","7.5 %","3.23","3.06","3.36","5.5","4567"
"Jon Lester","Red Sox","15","8","0","32","32","203.1","9.96","2.83","0.89",".313","76.9 %","47.7 %","10.6 %","3.41","3.15","3.09","5.4","4930"
"Ubaldo Jimenez","Rockies","15","12","0","33","33","218.0","8.17","3.51","0.54",".280","73.5 %","52.5 %","7.8 %","3.47","3.36","3.59","5.3","3374"
"Dan Haren","Diamondbacks","14","10","0","33","33","229.1","8.75","1.49","1.06",".267","77.0 %","42.9 %","11.7 %","3.14","3.23","3.02","5.3","1757"
"Adam Wainwright","Cardinals","19","8","0","34","34","233.0","8.19","2.55","0.66",".296","80.4 %","50.7 %","8.3 %","2.63","3.11","3.32","5.3","2233"
"Chris Carpenter","Cardinals","17","4","0","28","28","192.2","6.73","1.78","0.33",".269","79.5 %","55.0 %","4.6 %","2.24","2.78","3.34","5.2","1292"
"Joel Pineiro","Cardinals","15","12","0","32","32","214.0","4.42","1.14","0.46",".290","66.9 %","60.5 %","6.5 %","3.49","3.27","3.64","4.3","1094"
"Josh Beckett","Red Sox","17","6","0","32","32","212.1","8.43","2.33","1.06",".290","71.6 %","47.2 %","12.8 %","3.86","3.63","3.30","4.2","510"
"Clayton Kershaw","Dodgers","8","8","0","31","30","171.0","9.74","4.79","0.37",".269","77.5 %","39.4 %","4.1 %","2.79","3.08","3.85","4.1","2036"
"Wandy Rodriguez","Astros","14","12","0","33","33","205.2","8.45","2.76","0.92",".302","79.4 %","44.9 %","9.9 %","3.02","3.54","3.57","4.1","2586"
"Ricky Nolasco","Marlins","13","9","0","31","31","185.0","9.49","2.14","1.12",".317","61.0 %","38.3 %","11.0 %","5.06","3.35","3.23","4.1","3830"
"Gavin Floyd","White Sox","11","11","0","30","30","193.0","7.60","2.75","0.98",".284","69.7 %","44.3 %","11.2 %","4.06","3.77","3.64","4.0","3886"
"Jered Weaver","Angels","16","8","0","33","33","211.0","7.42","2.82","1.11",".278","76.2 %","30.9 %","8.3 %","3.75","4.04","4.40","3.8","4235"
"Paul Maholm","Pirates","8","9","0","31","31","194.2","5.50","2.77","0.65",".325","69.2 %","52.1 %","7.3 %","4.44","3.83","4.18","3.8","8678"
"Cole Hamels","Phillies","10","11","0","32","32","193.2","7.81","2.00","1.12",".317","72.1 %","40.4 %","10.7 %","4.32","3.72","3.63","3.8","4972"
"Carlos Zambrano","Cubs","9","7","0","28","28","169.1","8.08","4.15","0.53",".300","71.9 %","44.7 %","5.6 %","3.77","3.61","4.22","3.8","305"
"Ted Lilly","Cubs","12","9","0","27","27","177.0","7.68","1.83","1.12",".261","77.8 %","31.9 %","8.7 %","3.10","3.65","3.91","3.7","833"
