"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Randy Johnson","Diamondbacks","16","14","0","35","35","245.2","10.62","1.61","0.66",".264","69.5 %","43.1 %","8.0 %","2.60","2.30","2.64","9.6","60"
"Ben Sheets","Brewers","12","14","0","34","34","237.0","10.03","1.22","0.95",".288","75.3 %","42.6 %","10.7 %","2.70","2.65","2.68","8.0","710"
"Johan Santana","Twins","20","6","0","34","34","228.0","10.46","2.13","0.95",".250","80.4 %","40.6 %","10.6 %","2.61","2.92","2.96","6.8","755"
"Roy Oswalt","Astros","20","10","0","36","35","237.0","7.82","2.35","0.65",".314","73.0 %","42.2 %","7.4 %","3.49","3.17","3.62","6.5","571"
"Curt Schilling","Red Sox","21","6","0","32","32","226.2","8.06","1.39","0.91",".284","75.8 %","40.5 %","9.2 %","3.26","3.11","3.35","6.5","73"
"Jason Schmidt","Giants","18","7","0","32","32","225.0","10.04","3.08","0.72",".263","73.3 %","44.6 %","8.4 %","3.20","2.92","3.24","6.4","1131"
"Roger Clemens","Astros","18","4","0","33","33","214.1","9.15","3.32","0.63",".275","76.4 %","48.7 %","8.3 %","2.98","3.11","3.40","5.7","815"
"Brad Radke","Twins","11","8","0","34","34","219.2","5.86","1.07","0.94",".293","73.9 %","43.0 %","8.6 %","3.48","3.55","3.91","5.0","748"
"Pedro Martinez","Red Sox","16","9","0","33","33","217.0","9.41","2.53","1.08",".291","73.2 %","38.2 %","10.4 %","3.90","3.58","3.66","4.9","200"
"Freddy Garcia","- - -","13","11","0","31","31","210.0","7.89","2.74","0.94",".283","73.6 %","43.4 %","9.6 %","3.81","3.67","3.86","4.8","1077"
"Carlos Zambrano","Cubs","16","8","0","31","31","209.2","8.07","3.48","0.60",".274","79.1 %","50.7 %","8.0 %","2.75","3.57","3.89","4.7","305"
"Tim Hudson","Athletics","12","6","0","27","27","188.2","4.91","2.10","0.38",".297","70.4 %","58.8 %","5.6 %","3.53","3.40","3.92","4.6","921"
"Oliver Perez","Pirates","12","10","0","30","30","196.0","10.97","3.72","1.01",".271","80.3 %","35.5 %","9.9 %","2.98","3.45","3.60","4.5","1514"
"Mark Buehrle","White Sox","16","10","0","35","35","245.1","6.05","1.87","1.21",".295","73.0 %","48.8 %","13.7 %","3.89","4.17","3.82","4.5","225"
"Carl Pavano","Marlins","18","8","0","31","31","222.1","5.63","1.98","0.65",".282","76.9 %","47.6 %","7.3 %","3.00","3.54","4.01","4.5","790"
"Jaret Wright","Braves","15","8","0","32","32","186.1","7.68","3.38","0.53",".292","71.8 %","46.1 %","6.1 %","3.28","3.29","3.90","4.5","415"
"Doug Davis","Brewers","12","12","0","34","34","207.1","7.21","3.43","0.61",".290","75.1 %","47.5 %","7.0 %","3.39","3.57","4.06","4.4","1244"
"Livan Hernandez","Expos","11","15","0","35","35","255.0","6.56","2.93","0.92",".278","76.4 %","45.5 %","10.1 %","3.60","4.01","4.12","4.4","1116"
