"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Clayton Kershaw","Dodgers","16","7","0","33","33","232.2","11.64","1.62","0.58",".281","78.3 %","50.0 %","10.1 %","2.13","1.99","2.09","8.6","2036"
"Jake Arrieta","Cubs","22","6","0","33","33","229.0","9.28","1.89","0.39",".246","80.0 %","56.2 %","7.8 %","1.77","2.35","2.61","7.0","4153"
"David Price","- - -","18","5","0","32","32","220.1","9.19","1.92","0.69",".290","78.6 %","40.4 %","7.8 %","2.45","2.78","3.24","6.7","3184"
"Max Scherzer","Nationals","14","12","0","33","33","228.2","10.86","1.34","1.06",".268","79.6 %","35.8 %","10.5 %","2.79","2.77","2.88","6.5","3137"
"Dallas Keuchel","Astros","20","8","0","33","33","232.0","8.38","1.98","0.66",".269","79.4 %","61.7 %","13.6 %","2.48","2.91","2.75","5.7","9434"
"Chris Sale","White Sox","13","11","0","31","31","208.2","11.82","1.81","0.99",".323","73.2 %","42.6 %","12.5 %","3.41","2.73","2.60","5.6","10603"
"Corey Kluber","Indians","9","16","0","32","32","222.0","9.93","1.82","0.89",".297","71.4 %","42.4 %","10.7 %","3.49","2.97","3.05","5.6","2429"
"Zack Greinke","Dodgers","19","3","0","32","32","222.2","8.08","1.62","0.57",".229","86.5 %","48.0 %","7.3 %","1.66","2.76","3.22","5.3","1943"
"Chris Archer","Rays","12","13","0","34","34","212.0","10.70","2.80","0.81",".295","73.1 %","46.1 %","10.4 %","3.23","2.90","3.01","5.1","6345"
"Gerrit Cole","Pirates","19","8","0","32","32","208.0","8.74","1.90","0.48",".304","74.9 %","48.0 %","6.5 %","2.60","2.66","3.16","5.1","13125"
"Madison Bumgarner","Giants","18","9","0","32","32","218.1","9.65","1.61","0.87",".282","77.9 %","41.7 %","10.2 %","2.93","2.87","3.02","4.9","5524"
"Jon Lester","Cubs","11","12","0","32","32","205.0","9.09","2.06","0.70",".303","71.8 %","48.9 %","9.9 %","3.34","2.92","3.06","4.9","4930"
"Jacob deGrom","Mets","14","8","0","30","30","191.0","9.66","1.79","0.75",".271","78.0 %","44.4 %","9.5 %","2.54","2.70","2.92","4.9","10954"
"Carlos Carrasco","Indians","14","12","0","30","30","183.2","10.58","2.11","0.88",".304","71.8 %","51.2 %","13.2 %","3.63","2.84","2.66","4.8","6632"
"Cole Hamels","- - -","13","8","0","32","32","212.1","9.11","2.63","0.93",".294","75.3 %","47.7 %","12.0 %","3.65","3.47","3.40","4.5","4972"
"Jose Quintana","White Sox","9","10","0","32","32","206.1","7.72","1.92","0.70",".327","76.3 %","47.1 %","8.6 %","3.36","3.18","3.51","4.3","11423"
"Johnny Cueto","- - -","11","13","0","32","32","212.0","7.47","1.95","0.89",".281","73.7 %","42.4 %","9.5 %","3.44","3.53","3.78","4.1","6893"
"Matt Harvey","Mets","13","8","0","29","29","189.1","8.94","1.76","0.86",".272","78.7 %","46.0 %","9.8 %","2.71","3.05","3.24","4.0","11713"
"Tyson Ross","Padres","10","12","0","33","33","196.0","9.73","3.86","0.41",".320","74.0 %","61.5 %","8.8 %","3.26","2.98","3.15","4.0","7872"
"Sonny Gray","Athletics","14","7","0","31","31","208.0","7.31","2.55","0.74",".255","76.8 %","52.7 %","9.3 %","2.73","3.45","3.69","3.9","12768"
"Shelby Miller","Braves","6","17","0","33","33","205.1","7.50","3.20","0.57",".285","73.8 %","47.7 %","6.4 %","3.02","3.45","4.07","3.7","10197"
"Gio Gonzalez","Nationals","11","8","0","31","31","175.2","8.66","3.54","0.41",".341","72.1 %","53.8 %","5.9 %","3.79","3.05","3.59","3.7","7448"
"Collin McHugh","Astros","19","7","0","32","32","203.2","7.56","2.34","0.84",".310","74.3 %","45.4 %","8.9 %","3.89","3.58","3.91","3.5","7531"
"John Lackey","Cardinals","13","10","0","33","33","218.0","7.22","2.19","0.87",".295","82.6 %","46.0 %","9.8 %","2.77","3.57","3.77","3.5","1507"
"Carlos Martinez","Cardinals","14","7","0","31","29","179.2","9.22","3.16","0.65",".318","78.8 %","54.5 %","10.6 %","3.01","3.21","3.28","3.3","11682"
"Francisco Liriano","Pirates","12","7","0","31","31","186.2","9.88","3.38","0.72",".293","74.2 %","51.2 %","11.7 %","3.38","3.19","3.16","3.3","3201"
"Kyle Hendricks","Cubs","8","7","0","32","32","180.0","8.35","2.15","0.85",".296","69.9 %","51.3 %","12.4 %","3.95","3.36","3.25","3.2","12049"
"Anthony DeSclafani","Reds","9","13","0","31","31","184.2","7.36","2.68","0.83",".318","69.9 %","45.1 %","9.1 %","4.05","3.67","3.97","3.1","13050"
"J.A. Happ","- - -","11","8","0","32","31","172.0","7.90","2.35","0.84",".312","75.4 %","41.6 %","9.2 %","3.61","3.41","3.69","3.1","7410"
