"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Kevin Brown","Padres","18","7","0","36","35","257.0","9.00","1.72","0.28",".306","75.9 %","","","2.38","2.23","","9.6","642"
"Curt Schilling","Phillies","15","14","0","35","35","268.2","10.05","2.04","0.77",".305","74.6 %","","","3.25","2.77","","8.3","73"
"Roger Clemens","Blue Jays","20","6","0","33","33","234.2","10.39","3.37","0.42",".271","74.8 %","","","2.65","2.65","","8.2","815"
"Randy Johnson","- - -","19","11","0","34","34","244.1","12.12","3.17","0.85",".320","74.2 %","","","3.28","2.90","","7.6","60"
"Greg Maddux","Braves","18","9","0","34","34","251.0","7.31","1.61","0.47",".262","75.8 %","","","2.22","2.81","","7.5","104"
"Pedro Martinez","Red Sox","19","7","0","33","33","233.2","9.67","2.58","1.00",".270","79.9 %","","","2.89","3.40","","5.7","200"
"John Smoltz","Braves","17","3","0","26","26","167.2","9.29","2.36","0.54",".300","75.4 %","","","2.90","2.71","","5.2","115"
"Jamie Moyer","Mariners","15","9","0","34","34","234.1","6.07","1.61","0.88",".285","73.7 %","","","3.53","3.73","","5.2","1091"
"Scott Erickson","Orioles","16","13","0","36","36","251.1","6.66","2.47","0.82",".322","72.2 %","","","4.01","3.83","","5.2","137"
"David Cone","Yankees","20","7","0","31","31","207.2","9.06","2.56","0.87",".295","73.7 %","","","3.55","3.45","","5.1","1680"
"Mike Mussina","Orioles","13","10","0","29","29","206.1","7.63","1.79","0.96",".282","73.3 %","","","3.49","3.48","","5.1","837"
"Tom Glavine","Braves","20","6","0","33","33","229.1","6.16","2.90","0.51",".275","81.2 %","","","2.47","3.50","","4.8","90"
"Al Leiter","Mets","17","6","0","28","28","193.0","8.11","3.31","0.37",".272","80.3 %","","","2.47","3.15","","4.8","883"
"Aaron Sele","Rangers","19","11","0","33","33","212.2","7.07","3.55","0.59",".333","69.5 %","","","4.23","3.79","","4.7","34"
"Shane Reynolds","Astros","19","8","0","35","35","233.1","8.06","2.04","0.96",".333","76.9 %","","","3.51","3.45","","4.5","574"
"Kenny Rogers","Athletics","16","8","0","34","34","238.2","5.20","2.53","0.72",".265","73.6 %","","","3.17","3.95","","4.5","1277"
"David Wells","Yankees","18","4","0","30","30","214.1","6.84","1.22","1.22",".264","75.4 %","","","3.49","3.80","","4.4","855"
"Chuck Finley","Angels","11","9","0","34","34","223.1","8.54","4.39","0.81",".302","76.8 %","","","3.39","3.95","","4.4","384"
