"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Jeremy Hellickson","Phillies","12","10","0","32","32","189.0","7.33","2.14","1.14",".274","72.5 %","40.7 %","12.7 %","3.71","3.98","3.99","3.4","4371"
"Cole Hamels","Rangers","15","5","0","32","32","200.2","8.97","3.45","1.08",".299","79.1 %","49.6 %","14.0 %","3.32","3.98","3.85","3.3","4972"
"Marcus Stroman","Blue Jays","9","10","0","32","32","204.0","7.32","2.38","0.93",".308","68.6 %","60.1 %","16.5 %","4.37","3.71","3.41","3.3","13431"
"Tanner Roark","Nationals","16","10","0","34","33","210.0","7.37","3.13","0.73",".269","79.5 %","48.7 %","9.4 %","2.83","3.79","4.17","3.3","8753"
"Robbie Ray","Diamondbacks","8","15","0","32","32","174.1","11.25","3.67","1.24",".352","68.7 %","45.7 %","15.5 %","4.90","3.76","3.45","3.3","11486"
"Michael Pineda","Yankees","6","12","0","32","32","175.2","10.61","2.72","1.38",".339","70.7 %","45.8 %","17.0 %","4.82","3.80","3.30","3.2","5372"
"Carlos Martinez","Cardinals","16","9","0","31","31","195.1","8.02","3.23","0.69",".286","79.5 %","56.4 %","10.6 %","3.04","3.61","3.81","3.2","11682"
"Kevin Gausman","Orioles","9","12","0","30","30","179.2","8.72","2.35","1.40",".308","81.2 %","44.1 %","15.4 %","3.61","4.10","3.77","3.1","14107"
"Julio Teheran","Braves","7","10","0","30","30","188.0","7.99","1.96","1.05",".260","77.8 %","39.1 %","10.0 %","3.21","3.69","4.13","3.0","6797"
"Jerad Eickhoff","Phillies","11","14","0","33","33","197.1","7.62","1.92","1.37",".278","76.4 %","40.7 %","13.1 %","3.65","4.19","4.15","3.0","12664"
"Drew Pomeranz","- - -","11","12","0","31","30","170.2","9.81","3.43","1.16",".268","80.1 %","46.2 %","13.6 %","3.32","3.80","3.71","3.0","11426"
"Chris Archer","Rays","9","19","0","33","33","201.1","10.42","3.00","1.34",".296","72.5 %","47.8 %","16.2 %","4.02","3.81","3.41","2.9","6345"
"Kenta Maeda","Dodgers","16","11","0","32","32","175.2","9.17","2.56","1.02",".283","75.6 %","43.9 %","11.8 %","3.48","3.58","3.70","2.9","18498"
"Danny Duffy","Royals","12","3","0","42","26","179.2","9.42","2.10","1.35",".291","80.9 %","36.4 %","13.0 %","3.51","3.83","3.79","2.9","3542"
"John Lackey","Cubs","11","8","0","29","29","188.1","8.60","2.53","1.10",".255","76.2 %","41.0 %","12.9 %","3.35","3.81","3.80","2.9","1507"
"J.A. Happ","Blue Jays","20","4","0","32","32","195.0","7.52","2.77","1.02",".268","79.7 %","42.5 %","11.1 %","3.18","3.96","4.18","2.8","7410"
"Gio Gonzalez","Nationals","11","11","0","32","32","177.1","8.68","2.99","0.96",".316","67.6 %","47.6 %","12.5 %","4.57","3.76","3.80","2.8","7448"
"Ricky Nolasco","- - -","8","14","0","32","32","197.2","6.56","2.00","1.18",".294","68.5 %","43.1 %","11.1 %","4.42","4.14","4.41","2.8","3830"
"Adam Wainwright","Cardinals","13","9","0","33","33","198.2","7.29","2.67","1.00",".330","69.5 %","43.8 %","11.8 %","4.62","3.93","4.06","2.8","2233"
"Collin McHugh","Astros","13","10","0","33","33","184.2","8.63","2.63","1.22",".338","75.2 %","41.3 %","11.8 %","4.34","3.95","4.09","2.7","7531"
"Marco Estrada","Blue Jays","9","9","0","29","29","176.0","8.44","3.32","1.18",".234","75.8 %","33.5 %","9.9 %","3.48","4.15","4.64","2.7","1118"
"Carlos Rodon","White Sox","9","10","0","28","28","165.0","9.16","2.95","1.25",".330","75.6 %","44.1 %","13.8 %","4.04","4.01","3.89","2.7","16137"
"Hisashi Iwakuma","Mariners","16","12","0","33","33","199.0","6.65","2.08","1.27",".311","75.7 %","40.8 %","11.9 %","4.12","4.27","4.41","2.7","13048"
"CC Sabathia","Yankees","9","12","0","30","30","179.2","7.61","3.26","1.10",".288","75.7 %","50.1 %","12.6 %","3.91","4.28","4.31","2.6","404"
"Trevor Bauer","Indians","12","8","0","35","28","190.0","7.96","3.32","0.95",".292","70.4 %","48.7 %","11.6 %","4.26","3.99","4.13","2.6","12703"
"Zach Davies","Brewers","11","7","0","28","28","163.1","7.44","2.09","1.10",".302","72.0 %","45.5 %","12.4 %","3.97","3.89","3.94","2.5","13183"
"Chris Tillman","Orioles","16","6","0","30","30","172.0","7.33","3.45","0.99",".282","77.0 %","41.2 %","10.5 %","3.77","4.23","4.54","2.5","5279"
"Mike Leake","Cardinals","9","12","0","30","30","176.2","6.37","1.53","1.02",".318","65.6 %","53.7 %","13.5 %","4.69","3.83","3.76","2.5","10130"
"Chad Bettis","Rockies","14","8","0","32","32","186.0","6.68","2.85","1.06",".310","68.1 %","51.2 %","13.9 %","4.79","4.26","4.14","2.5","10587"
"Bartolo Colon","Mets","15","8","0","34","33","191.2","6.01","1.50","1.13",".291","76.5 %","43.2 %","11.5 %","3.43","3.99","4.17","2.4","375"
"Dallas Keuchel","Astros","9","12","0","26","26","168.0","7.71","2.57","1.07",".304","68.4 %","56.7 %","16.4 %","4.55","3.87","3.53","2.4","9434"
"Martin Perez","Rangers","10","11","0","33","33","198.2","4.67","3.44","0.82",".286","67.4 %","53.2 %","10.4 %","4.39","4.50","4.77","2.3","6902"
"Jeff Samardzija","Giants","12","11","0","32","32","203.1","7.39","2.39","1.06",".285","74.3 %","46.5 %","11.9 %","3.81","3.85","3.96","2.2","3254"
"Matt Moore","- - -","13","12","0","33","33","198.1","8.08","3.27","1.13",".285","74.5 %","38.2 %","10.4 %","4.08","4.17","4.56","2.0","1890"
"Ian Kennedy","Royals","11","11","0","33","33","195.2","8.46","3.04","1.52",".268","83.1 %","33.2 %","12.8 %","3.68","4.67","4.67","2.0","6986"
"Kendall Graveman","Athletics","10","11","0","31","31","186.0","5.23","2.27","1.06",".289","74.4 %","52.1 %","12.9 %","4.11","4.39","4.38","1.9","15514"
"Jake Odorizzi","Rays","10","6","0","33","33","187.2","7.96","2.59","1.39",".271","79.0 %","36.6 %","12.0 %","3.69","4.31","4.44","1.8","6397"
"Drew Smyly","Rays","7","12","0","30","30","175.1","8.57","2.52","1.64",".291","67.7 %","31.3 %","12.7 %","4.88","4.49","4.51","1.8","11760"
"Wade Miley","- - -","9","13","0","30","30","166.0","7.43","2.66","1.36",".328","68.6 %","47.3 %","16.2 %","5.37","4.45","4.04","1.8","8779"
"Edinson Volquez","Royals","10","11","0","34","34","189.1","6.61","3.61","1.09",".319","65.7 %","51.2 %","12.8 %","5.37","4.57","4.58","1.7","3990"
"Yordano Ventura","Royals","11","12","0","32","32","186.0","6.97","3.77","1.11",".297","73.8 %","50.2 %","12.8 %","4.45","4.59","4.59","1.6","11855"
"Mike Fiers","Astros","11","8","0","31","30","168.2","7.15","2.24","1.39",".313","73.7 %","42.2 %","15.2 %","4.48","4.43","4.12","1.5","7754"
"Jason Hammel","Cubs","15","10","0","30","30","166.2","7.78","2.86","1.35",".267","76.0 %","42.1 %","13.8 %","3.83","4.48","4.34","1.3","4538"
"Dan Straily","Reds","14","8","0","34","31","191.1","7.62","3.43","1.46",".239","81.2 %","32.0 %","12.0 %","3.76","4.88","5.02","1.2","9460"
"Tom Koehler","Marlins","9","13","0","33","33","176.2","7.49","4.23","1.12",".298","73.3 %","42.2 %","12.1 %","4.33","4.60","4.69","1.1","6570"
"Jaime Garcia","Cardinals","10","13","0","32","30","171.2","7.86","2.99","1.36",".305","72.1 %","56.7 %","20.2 %","4.67","4.49","3.77","1.1","8137"
"Josh Tomlin","Indians","13","9","0","30","29","174.0","6.10","1.03","1.86",".276","70.8 %","43.8 %","17.7 %","4.40","4.88","4.13","1.0","9388"
"R.A. Dickey","Blue Jays","10","15","0","30","29","169.2","6.68","3.34","1.49",".279","70.9 %","42.1 %","14.7 %","4.46","5.03","4.76","0.8","1245"
"Doug Fister","Astros","12","13","0","32","32","180.1","5.74","3.09","1.20",".299","72.1 %","45.3 %","11.8 %","4.64","4.75","4.89","0.8","9425"
"Hector Santiago","- - -","13","10","0","33","33","182.0","7.12","3.91","1.63",".260","74.0 %","34.1 %","12.0 %","4.70","5.31","5.46","0.8","4026"
"Brandon Finnegan","Reds","10","11","0","31","31","172.0","7.59","4.40","1.52",".256","77.0 %","38.1 %","14.9 %","3.98","5.19","4.87","0.7","16208"
"Jimmy Nelson","Brewers","8","16","0","32","32","179.1","7.03","4.32","1.25",".299","71.3 %","49.4 %","14.5 %","4.62","5.12","4.91","0.5","10547"
"Francisco Liriano","- - -","8","13","0","31","29","163.0","9.28","4.69","1.44",".296","71.3 %","52.0 %","18.8 %","4.69","4.89","4.23","0.5","3201"
"Jered Weaver","Angels","12","12","0","31","31","178.0","5.21","2.58","1.87",".301","74.5 %","28.8 %","12.7 %","5.06","5.62","5.64","0.1","4235"
"James Shields","- - -","6","19","0","33","33","181.2","6.69","4.06","1.98",".302","72.7 %","40.4 %","17.8 %","5.85","6.01","5.21","-1.0","7059"
