"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Jose Fernandez","Marlins","16","8","0","29","29","182.1","12.49","2.71","0.64",".332","76.6 %","40.2 %","10.0 %","2.86","2.30","2.56","6.3","11530"
"Noah Syndergaard","Mets","14","9","0","31","30","183.2","10.68","2.11","0.54",".334","76.9 %","51.2 %","8.6 %","2.60","2.29","2.67","6.0","11762"
"Max Scherzer","Nationals","20","7","0","34","34","228.1","11.19","2.21","1.22",".255","81.7 %","33.0 %","11.9 %","2.96","3.24","3.37","5.6","3137"
"Justin Verlander","Tigers","16","9","0","34","34","227.2","10.04","2.25","1.19",".255","79.9 %","33.7 %","10.9 %","3.04","3.48","3.78","5.4","8700"
"Chris Sale","White Sox","17","10","0","32","32","226.2","9.25","1.79","1.07",".279","76.6 %","41.2 %","11.9 %","3.34","3.46","3.58","5.3","10603"
"Rick Porcello","Red Sox","22","4","0","33","33","223.0","7.63","1.29","0.93",".269","74.3 %","43.1 %","9.3 %","3.15","3.40","3.89","5.1","2717"
"Jose Quintana","White Sox","13","12","0","32","32","208.0","7.83","2.16","0.95",".293","79.0 %","40.4 %","9.5 %","3.20","3.56","4.03","4.9","11423"
"Corey Kluber","Indians","18","9","0","32","32","215.0","9.50","2.39","0.92",".271","74.8 %","44.5 %","10.8 %","3.14","3.26","3.50","4.9","2429"
"Johnny Cueto","Giants","18","5","0","32","32","219.2","8.11","1.84","0.61",".293","78.0 %","50.2 %","8.4 %","2.79","2.96","3.42","4.9","6893"
"Masahiro Tanaka","Yankees","14","4","0","31","31","199.2","7.44","1.62","0.99",".271","76.4 %","48.2 %","12.0 %","3.07","3.51","3.61","4.7","15764"
"David Price","Red Sox","17","9","0","35","35","230.0","8.92","1.96","1.17",".310","73.6 %","43.7 %","13.5 %","3.99","3.60","3.52","4.4","3184"
"Madison Bumgarner","Giants","15","9","0","34","34","226.2","9.97","2.14","1.03",".265","79.1 %","39.6 %","10.7 %","2.74","3.24","3.54","4.3","5524"
"Jon Lester","Cubs","19","5","0","32","32","202.2","8.75","2.31","0.93",".256","84.9 %","46.9 %","12.2 %","2.44","3.41","3.47","4.2","4930"
"Kyle Hendricks","Cubs","16","8","0","31","30","190.0","8.05","2.08","0.71",".250","81.5 %","48.4 %","9.3 %","2.13","3.20","3.59","4.2","12049"
"Jon Gray","Rockies","10","10","0","29","29","168.0","9.91","3.16","0.96",".308","66.4 %","43.5 %","12.8 %","4.61","3.60","3.61","3.6","14916"
"Ervin Santana","Twins","7","11","0","30","30","181.1","7.40","2.63","0.94",".285","74.1 %","42.6 %","9.9 %","3.38","3.81","4.21","3.5","3200"
"Aaron Sanchez","Blue Jays","15","2","0","30","30","192.0","7.55","2.95","0.70",".267","76.9 %","54.4 %","10.7 %","3.00","3.55","3.75","3.5","11490"
"Jake Arrieta","Cubs","18","8","0","31","31","197.1","8.67","3.47","0.73",".241","74.9 %","52.6 %","11.1 %","3.10","3.52","3.68","3.5","4153"
