"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Curt Schilling","Diamondbacks","23","7","0","36","35","259.1","10.97","1.15","1.01",".297","74.5 %","41.8 %","12.3 %","3.23","2.40","2.20","9.3","73"
"Randy Johnson","Diamondbacks","24","5","0","35","35","260.0","11.56","2.46","0.90",".289","83.0 %","46.6 %","12.5 %","2.32","2.66","2.47","8.1","60"
"Pedro Martinez","Red Sox","20","4","0","30","30","199.1","10.79","1.81","0.59",".273","75.8 %","42.2 %","7.4 %","2.26","2.24","2.61","7.4","200"
"Roy Halladay","Blue Jays","19","7","0","34","34","239.1","6.32","2.33","0.38",".286","71.6 %","59.7 %","6.6 %","2.93","2.97","3.30","6.8","1303"
"Roy Oswalt","Astros","19","9","0","35","34","233.0","8.03","2.39","0.66",".298","75.9 %","47.2 %","8.4 %","3.01","2.99","3.24","6.2","571"
"Odalis Perez","Dodgers","15","10","0","32","32","222.1","6.27","1.54","0.85",".247","76.1 %","46.2 %","9.7 %","3.00","3.36","3.49","4.9","668"
"A.J. Burnett","Marlins","12","9","0","31","29","204.1","8.94","3.96","0.53",".266","71.4 %","42.8 %","6.3 %","3.30","3.19","3.73","4.8","512"
"Tim Hudson","Athletics","15","9","0","34","34","238.1","5.74","2.34","0.72",".294","78.5 %","55.8 %","10.5 %","2.98","3.60","3.62","4.7","921"
"Matt Clement","Cubs","12","11","0","32","32","205.0","9.44","3.73","0.79",".270","74.2 %","50.2 %","11.1 %","3.56","3.34","3.29","4.7","271"
"Kevin Millwood","Braves","18","8","0","35","34","217.0","7.38","2.70","0.66",".271","74.4 %","44.4 %","7.8 %","3.24","3.29","3.64","4.6","106"
"Derek Lowe","Red Sox","21","8","0","32","32","219.2","5.20","1.97","0.49",".235","77.0 %","67.0 %","9.5 %","2.58","3.34","3.42","4.6","199"
"Javier Vazquez","Expos","10","13","0","34","34","230.1","6.99","1.91","1.09",".302","72.0 %","39.5 %","10.1 %","3.91","3.68","3.77","4.6","801"
"Mike Mussina","Yankees","18","10","0","33","33","215.2","7.60","2.00","1.13",".290","70.8 %","40.8 %","11.2 %","4.05","3.64","3.56","4.5","837"
"Barry Zito","Athletics","23","5","0","35","35","229.1","7.14","3.06","0.94",".245","80.7 %","34.8 %","8.2 %","2.75","3.87","4.28","4.5","944"
"David Wells","Yankees","19","7","0","31","31","206.1","5.98","1.96","0.92",".284","69.4 %","43.1 %","8.1 %","3.75","3.68","4.10","4.5","855"
"Jason Schmidt","Giants","13","8","0","29","29","185.1","9.52","3.54","0.73",".275","71.8 %","34.9 %","7.4 %","3.45","3.11","3.58","4.5","1131"
"Bartolo Colon","- - -","20","8","0","33","33","233.1","5.75","2.70","0.77",".274","78.3 %","46.1 %","8.2 %","2.93","3.73","4.06","4.4","375"
"Chuck Finley","- - -","11","15","0","32","32","190.2","8.21","3.68","0.61",".313","67.7 %","49.8 %","8.3 %","4.15","3.27","3.51","4.4","384"
"Roger Clemens","Yankees","13","6","0","29","29","180.0","9.60","3.15","0.90",".316","68.3 %","44.0 %","10.5 %","4.35","3.30","3.31","4.3","815"
"Mark Buehrle","White Sox","19","12","0","34","34","239.0","5.05","2.30","0.94",".277","74.7 %","46.3 %","10.4 %","3.58","4.00","4.04","4.3","225"
"Jarrod Washburn","Angels","18","6","0","32","32","206.0","6.07","2.58","0.83",".259","77.8 %","30.9 %","6.1 %","3.15","3.71","4.63","4.2","40"
"Matt Morris","Cardinals","17","9","0","32","32","210.1","7.32","2.74","0.68",".306","75.3 %","50.1 %","8.6 %","3.42","3.32","3.57","4.2","1172"
"Jeff Weaver","- - -","11","11","2","32","25","199.2","5.95","2.16","0.72",".280","71.4 %","44.5 %","7.1 %","3.52","3.57","4.09","4.1","503"
"Mark Redman","Tigers","8","15","0","30","30","203.0","4.83","2.26","0.67",".290","65.2 %","40.3 %","5.5 %","4.21","3.69","4.61","4.0","491"
